dataset_id,label,path,target,driver,n_total,n_used,train_n,test_n,residual_skew,residual_excess_kurtosis,vwk_test_mse,wiener_test_mse,monomial_ls_test_mse,huber_test_mse,wiener_vwk_ratio,vwk_monomial_ratio,decision,note
fremtpl2_severity_raw,freMTPL2 severity: claim amount ~ policy risk factors,shared/datasets/external/processed/fremtpl2_severity_sample.csv,ClaimAmount,DrivAge,4000,4000,2800,1200,32.61344628725004,1148.3009286090698,0.07841035993139774,0.07443507474804381,0.07841035993139762,0.07122815925402769,0.9493015312411274,1.0000000000000013,no_flagship,No robust VWK-vs-Wiener real-world illustration under this scalar screen.
fremtpl2_severity_log,freMTPL2 severity: log claim amount ~ policy risk factors,shared/datasets/external/processed/fremtpl2_severity_sample.csv,log_claim_amount,Exposure,4000,4000,2800,1200,-0.39230627988251227,3.194701510051126,0.8289670860890365,0.8309353845216554,0.8289670860890365,0.8290457628768201,1.0023743987736655,1.0,no_flagship,No robust VWK-vs-Wiener real-world illustration under this scalar screen.
gas_turbine_co_2015_raw,UCI Gas Turbine 2015: CO emissions,shared/datasets/external/processed/gas_turbine_2015.csv,CO,TIT,7384,7384,5168,2216,9.911878371630372,197.39824709287632,0.2757869718432849,0.4543801927315544,0.27578697184329276,0.3292113340726265,1.6475767136300934,0.9999999999999715,candidate_illustration,VWK beats misspecified Wiener and remains close to direct span-fitting guardrails.
gas_turbine_nox_2015_raw,UCI Gas Turbine 2015: NOx emissions,shared/datasets/external/processed/gas_turbine_2015.csv,NOX,AT,7384,7384,5168,2216,0.7269577048174273,6.672941607060379,1.082968599784216,1.0645921500049285,1.0829685997842173,1.0811312053190971,0.9830314103447236,0.9999999999999988,no_flagship,No robust VWK-vs-Wiener real-world illustration under this scalar screen.
gas_turbine_co_all_raw,UCI Gas Turbine 2011-2015: CO emissions,shared/datasets/external/processed/gas_turbine_2011_2015.csv,CO,TIT,36733,36733,25713,11020,7.892813612161082,159.36927428634368,0.4103624269882898,1.0580926642610295,0.4103624269882876,0.415730503937428,2.578434560947812,1.0000000000000053,candidate_illustration,VWK beats misspecified Wiener and remains close to direct span-fitting guardrails.
gas_turbine_nox_all_raw,UCI Gas Turbine 2011-2015: NOx emissions,shared/datasets/external/processed/gas_turbine_2011_2015.csv,NOX,AT,36733,36733,25713,11020,0.9656438992463746,2.727079998862224,1.1778356148478288,1.16669732258152,1.1778356148478275,1.105879597172243,0.9905434237801106,1.000000000000001,no_flagship,No robust VWK-vs-Wiener real-world illustration under this scalar screen.
sru_y1_static,SRU soft sensor: y1 ~ current inputs,shared/datasets/external/processed/sru.csv,y1,u2,10081,10081,7056,3025,7.553113153565944,95.70095156236862,1.404602552930063,1.4724161678160728,1.404602552930062,1.267864087764352,1.0482795754176493,1.0000000000000007,no_flagship,No robust VWK-vs-Wiener real-world illustration under this scalar screen.
sru_y2_static,SRU soft sensor: y2 ~ current inputs,shared/datasets/external/processed/sru.csv,y2,u3,10081,10081,7056,3025,3.0188750826581603,29.07184537389923,0.9552072499808301,0.9301679390704652,0.9552072499808302,0.9103472545273755,0.9737865150093162,0.9999999999999999,no_flagship,No robust VWK-vs-Wiener real-world illustration under this scalar screen.
sru_y1_dynamic,SRU soft sensor: y1 ~ current inputs + output/input lags,shared/datasets/external/processed/sru_lagged.csv,y1,y1_lag1,10079,10079,7055,3024,10.556692440806358,274.2117565917843,0.1339536622138995,0.5482773794590762,0.13395366221389943,0.1326969687816624,4.093037625082451,1.0000000000000007,candidate_illustration,VWK beats misspecified Wiener and remains close to direct span-fitting guardrails.
sru_y2_dynamic,SRU soft sensor: y2 ~ current inputs + output/input lags,shared/datasets/external/processed/sru_lagged.csv,y2,y2_lag1,10079,10079,7055,3024,5.094776647690125,174.85710293514077,0.060072335734002405,0.08713891084550363,0.060072335734002405,0.06044112312215152,1.4505663843562,1.0,candidate_illustration,VWK beats misspecified Wiener and remains close to direct span-fitting guardrails.
concrete,UCI Concrete Compressive Strength: strength ~ mixture proportions + age,shared/datasets/external/processed/concrete.csv,strength,age,1030,1030,721,309,0.5909958220670752,-0.22585414611520527,0.5457523969573759,0.5678972864161722,0.5457523969573755,0.5236742212174235,1.0405768065926166,1.0000000000000007,no_flagship,No robust VWK-vs-Wiener real-world illustration under this scalar screen.
