regime,n,reps,memory,order,noise_sd,oracle_vwk_mse,empirical_vwk_mse,wiener_mse,monomial_ls_mse,huber_mse,wiener_oracle_ratio,wiener_empirical_ratio,empirical_oracle_ratio
gaussian_control,600,80,3,2,0.25,0.055312491608428396,0.03856547541958545,0.055312491608428396,0.0010234139222169733,0.001041542520031639,1.0,1.4342489235939246,0.6972290399174303
centered_exponential_skew,600,80,3,2,0.25,0.2306732859273783,0.15499240348688542,0.9605818505753583,0.0010554544446563785,0.0010961867455461694,4.1642526862767,6.197606004971962,0.6719131036945514
uniform_platykurtic,600,80,3,2,0.25,0.03035658574693061,0.02177161337750124,0.0303565857469306,0.0010275404290196895,0.001106221074321939,0.9999999999999997,1.394319530692248,0.7171957201973083
symmetric_contaminated,600,80,3,2,0.25,0.13402231822435046,0.08355599919341913,0.13402231822435035,0.0010749393197740352,0.001127760111785847,0.9999999999999992,1.6039819943282534,0.623448395016927
gaussian_control,1200,80,3,2,0.25,0.02683124834518607,0.017312667948728103,0.02683124834518607,0.00047732473139871763,0.0005098672241635806,1.0,1.5498043643329542,0.6452427306400098
centered_exponential_skew,1200,80,3,2,0.25,0.1034970739767049,0.06370843024702946,0.7462823676737471,0.0005612999965325393,0.0006087889906023754,7.2106615095391025,11.714028501095333,0.6155577911445974
uniform_platykurtic,1200,80,3,2,0.25,0.014413874853148176,0.010783276220719711,0.014413874853148162,0.0005747000660736284,0.0005972577091362995,0.999999999999999,1.3366879006078296,0.7481177914046135
symmetric_contaminated,1200,80,3,2,0.25,0.09900319892351814,0.05962627093921149,0.0990031989235181,0.0005710154567033947,0.0005864284368662667,0.9999999999999996,1.6603956169664051,0.6022661044041003
gaussian_control,2500,80,3,2,0.25,0.011880918087978776,0.009207952666204956,0.011880918087978776,0.0002602867043794476,0.0002692004591047717,1.0,1.290288788254108,0.7750202970864388
centered_exponential_skew,2500,80,3,2,0.25,0.04860427041656803,0.036728864139214855,0.6711414104568627,0.0002571467368029255,0.0002678018340515823,13.80828072728537,18.272860492309512,0.7556715454100278
uniform_platykurtic,2500,80,3,2,0.25,0.007741886255503335,0.005846154943845961,0.0077418862555033285,0.00026382608497468516,0.000277813656856948,0.9999999999999991,1.3242697687396974,0.7551331485515187
symmetric_contaminated,2500,80,3,2,0.25,0.060899395281509394,0.03385655784605725,0.060899395281509436,0.00024840861790657024,0.00027156401602020043,1.0000000000000007,1.7987473965431915,0.5559424307836593
gaussian_control,5000,80,3,2,0.25,0.005861741615680908,0.004162385554878562,0.005861741615680908,0.0001361884835536664,0.0001456488777694987,1.0,1.4082649332690003,0.7100936594925386
centered_exponential_skew,5000,80,3,2,0.25,0.022769814732912192,0.015124554972874604,0.604378825740526,0.00013422085318224203,0.00013780192009800224,26.542983894679576,39.960106384912464,0.6642370678147462
uniform_platykurtic,5000,80,3,2,0.25,0.0033052156133721146,0.002593614670353464,0.0033052156133721,0.00011477380484843427,0.00012204303190621805,0.9999999999999956,1.2743664859520776,0.7847036241328151
symmetric_contaminated,5000,80,3,2,0.25,0.02518345605490287,0.01681126169110289,0.025183456054902853,0.00012891043413711724,0.00013835480026980521,0.9999999999999993,1.4980110664882946,0.6675518107781704
