regime,rep,n,noise_sd,vwk_mse,wiener_mse,huber_mse,mse_ratio,vwk_beta0,vwk_beta1,vwk_beta2,wiener_beta0,wiener_beta1,wiener_beta2,vwk_beta0_se,vwk_beta1_se,vwk_beta2_se,vwk_beta0_cover95,vwk_beta1_cover95,vwk_beta2_cover95
gaussian_control,0,800,0.25,0.0033238720097024115,0.0033238720097024115,2.5930426740089548e-05,1.0,0.14929320111669592,0.8087083017560455,0.6257993568327456,0.14929320111669592,0.8087083017560455,0.6257993568327456,0.035602185615538594,0.04704410118863798,0.06390042916799658,True,True,True
gaussian_control,1,800,0.25,0.002129922398315393,0.002129922398315393,0.0001974953236541201,1.0,0.23073837545317344,0.8290876104102655,0.6153910349318131,0.23073837545317344,0.8290876104102655,0.6153910349318131,0.036281771466334364,0.04863856515843163,0.06600792643676058,True,True,True
gaussian_control,2,800,0.25,0.0027503786511896737,0.0027503786511896737,7.1084671389042e-05,1.0,0.19258996076844453,0.765401577675347,0.5576699603328997,0.19258996076844453,0.765401577675347,0.5576699603328997,0.035242406433028534,0.04969105662101479,0.063010086043652,True,True,True
gaussian_control,3,800,0.25,0.028210147751183662,0.028210147751183662,6.337094822541923e-05,1.0,0.24399317398767228,0.8882676855605031,0.7126385687598882,0.24399317398767228,0.8882676855605031,0.7126385687598882,0.04028284073186191,0.05188666918706712,0.05716039659095448,True,True,False
gaussian_control,4,800,0.25,0.0057451485968617955,0.0057451485968617955,6.502870604144654e-05,1.0,0.1884778784209995,0.744659241046734,0.5494502997765441,0.1884778784209995,0.744659241046734,0.5494502997765441,0.03629855939128546,0.05478479193644077,0.06149848948575861,True,True,True
gaussian_control,5,800,0.25,0.007186550754093027,0.007186550754093027,0.00016665534816527342,1.0,0.13065381229990675,0.7626347762003092,0.5526654428597383,0.13065381229990675,0.7626347762003092,0.5526654428597383,0.034001527749295365,0.05484680386444057,0.06688724612354485,False,True,True
gaussian_control,6,800,0.25,0.0244576476287779,0.0244576476287779,7.277452215424083e-05,1.0,0.20038882653966872,0.9036326474334675,0.7170407872642837,0.20038882653966872,0.9036326474334675,0.7170407872642837,0.037049641952302745,0.04647940673444596,0.060874918928467955,True,False,True
gaussian_control,7,800,0.25,0.0006045337938180643,0.0006045337938180643,0.00032813454601366885,1.0,0.18030101921214872,0.808535702165127,0.5856284264444886,0.18030101921214872,0.808535702165127,0.5856284264444886,0.03471482163719549,0.04656603556334584,0.06425168653657345,True,True,True
gaussian_control,8,800,0.25,0.005471769137877964,0.005471769137877964,5.811560066213205e-05,1.0,0.16831035269686712,0.8370453042908595,0.6599570200073044,0.16831035269686712,0.8370453042908595,0.6599570200073044,0.03561030158264301,0.04275351194039009,0.06282687689129257,True,True,True
gaussian_control,9,800,0.25,0.05018614565844761,0.05018614565844761,6.614854855048114e-05,1.0,0.2271563319092949,0.9253995907583433,0.7680372753936366,0.2271563319092949,0.9253995907583433,0.7680372753936366,0.03865606697949424,0.04868405815054108,0.05453919013308737,True,False,False
gaussian_control,10,800,0.25,0.001858632246856234,0.001858632246856234,0.00010182702050784184,1.0,0.19407530698322226,0.8356807634043053,0.6237259599337445,0.19407530698322226,0.8356807634043053,0.6237259599337445,0.036284631841424685,0.05310703640412701,0.06410749295959041,True,True,True
gaussian_control,11,800,0.25,0.036678937285338054,0.036678937285338054,0.0001013466329040291,1.0,0.23792659519291995,0.9198101622890089,0.7276198938977756,0.23792659519291995,0.9198101622890089,0.7276198938977756,0.038975552341127005,0.053048904213624466,0.059112494119124975,True,False,False
gaussian_control,12,800,0.25,0.00047944764656187607,0.00047944764656187607,0.0008548222784267895,1.0,0.19694778153462963,0.8020223141282828,0.5799755167200547,0.19694778153462963,0.8020223141282828,0.5799755167200547,0.03716969283235603,0.05924366556411052,0.06646673591022227,True,True,True
gaussian_control,13,800,0.25,0.0005734092048679627,0.0005734092048679627,9.181788176038017e-05,1.0,0.1819649421984615,0.7909545070212433,0.5858216931496215,0.1819649421984615,0.7909545070212433,0.5858216931496215,0.03535480172521112,0.04510466786045561,0.06193788469530962,True,True,True
gaussian_control,14,800,0.25,0.002609720685901738,0.002609720685901738,0.0002723874677733605,1.0,0.17064601877651733,0.8296844536264074,0.6322583580584886,0.17064601877651733,0.8296844536264074,0.6322583580584886,0.03461844286767915,0.047468175415113695,0.0658745435223078,True,True,True
gaussian_control,15,800,0.25,0.0008297160758278661,0.0008297160758278661,0.0006464216394449763,1.0,0.21561529586422057,0.8169309403679924,0.6158987380046206,0.21561529586422057,0.8169309403679924,0.6158987380046206,0.03693320682056596,0.05238206380526533,0.06330375781693723,True,True,True
gaussian_control,16,800,0.25,0.0003418094151642727,0.0003418094151642727,0.0005027942678223201,1.0,0.21136758197379416,0.7897422882720578,0.5906795298805757,0.21136758197379416,0.7897422882720578,0.5906795298805757,0.03740319701046216,0.06469324511717243,0.06484602619089162,True,True,True
gaussian_control,17,800,0.25,0.000728275424975853,0.000728275424975853,0.0003118591198895808,1.0,0.20085875010576332,0.7778306361606571,0.583486579711485,0.20085875010576332,0.7778306361606571,0.583486579711485,0.035276402662293836,0.047490799351554,0.058758253333493986,True,True,True
gaussian_control,18,800,0.25,0.000862066675606902,0.000862066675606902,7.076844912368846e-05,1.0,0.22435413294761383,0.795921184281769,0.5835216975098422,0.22435413294761383,0.795921184281769,0.5835216975098422,0.035657735406492766,0.048957732679016354,0.06066623590870472,True,True,True
gaussian_control,19,800,0.25,0.0016523545291781865,0.0016523545291781865,2.2749240290596647e-05,1.0,0.23104860026891041,0.8147941314160795,0.6198381777758123,0.23104860026891041,0.8147941314160795,0.6198381777758123,0.03737701602514906,0.051171569541585145,0.06253241999169239,True,True,True
gaussian_control,20,800,0.25,0.00046105243172270727,0.00046105243172270727,4.197582583493068e-06,1.0,0.1865921939699252,0.8126249496246839,0.6114244290777416,0.1865921939699252,0.8126249496246839,0.6114244290777416,0.035534211272430526,0.05237446167007184,0.06903167501516981,True,True,True
gaussian_control,21,800,0.25,0.006204634654173955,0.006204634654173955,0.0002067311999698235,1.0,0.21707063061471593,0.8507281303848426,0.654046053171507,0.21707063061471593,0.8507281303848426,0.654046053171507,0.03763436743823096,0.04992291945300331,0.0628281173150858,True,True,True
gaussian_control,22,800,0.25,0.002541127962687247,0.002541127962687247,0.00010126612107841132,1.0,0.2097691281764808,0.7703323459429054,0.558227829217574,0.2097691281764808,0.7703323459429054,0.558227829217574,0.03511559799502037,0.062473084490149086,0.07329094901459487,True,True,True
gaussian_control,23,800,0.25,0.007309251339492771,0.007309251339492771,5.457610139778459e-05,1.0,0.22364596599621034,0.8529576935932085,0.6582740279308312,0.22364596599621034,0.8529576935932085,0.6582740279308312,0.03762878067923615,0.05347408418358333,0.06478173421672855,True,True,True
