regime,rep,n,noise_sd,vwk_mse,wiener_mse,huber_mse,mse_ratio,vwk_beta0,vwk_beta1,vwk_beta2,wiener_beta0,wiener_beta1,wiener_beta2,vwk_beta0_se,vwk_beta1_se,vwk_beta2_se,vwk_beta0_cover95,vwk_beta1_cover95,vwk_beta2_cover95
gaussian_control,0,2000,0.25,0.0004378530879350595,0.0004378530879350595,1.596354310014637e-05,1.0,0.17988268434023627,0.8038809524871781,0.6037953849753812,0.17988268434023627,0.8038809524871781,0.6037953849753812,0.022957535205333477,0.03177502403226953,0.04039262479460392,True,True,True
gaussian_control,1,2000,0.25,0.007117383738220422,0.007117383738220422,7.594493479622063e-05,1.0,0.22218364263452556,0.8495632471249135,0.6604588199089365,0.22218364263452556,0.8495632471249135,0.6604588199089365,0.023807682433036423,0.030355087500847595,0.038190384631749535,True,True,True
gaussian_control,2,2000,0.25,0.0006997839831280557,0.0006997839831280557,1.7541992422957216e-05,1.0,0.19447671744526326,0.8168939221449065,0.6192482041004331,0.19447671744526326,0.8168939221449065,0.6192482041004331,0.0230117923541232,0.035777099947788514,0.04243150633824481,True,True,True
gaussian_control,3,2000,0.25,0.00035226094295366905,0.00035226094295366905,6.729658364600232e-05,1.0,0.18607745778342755,0.7987194976381747,0.6133788819884777,0.18607745778342755,0.7987194976381747,0.6133788819884777,0.022448556400581555,0.029102704409121275,0.03963513234550225,True,True,True
gaussian_control,4,2000,0.25,0.0033727512050942664,0.0033727512050942664,0.0002687221050803238,1.0,0.21353116925106888,0.8203616461653179,0.6511307430205306,0.21353116925106888,0.8203616461653179,0.6511307430205306,0.023617590109179288,0.034161328489647064,0.04072700047866801,True,True,True
gaussian_control,5,2000,0.25,0.0011768369084562639,0.0011768369084562639,4.086319922163374e-05,1.0,0.19060406412954525,0.818797440494884,0.6276499524145905,0.19060406412954525,0.818797440494884,0.6276499524145905,0.023066163126494236,0.030695625286474713,0.03987217731148257,True,True,True
gaussian_control,6,2000,0.25,0.0010473942418514127,0.0010473942418514127,2.0643492579386566e-05,1.0,0.2016196085561998,0.814935791814909,0.6272031553485954,0.2016196085561998,0.814935791814909,0.6272031553485954,0.023660129198327672,0.03605405039204412,0.04084292732154205,True,True,True
gaussian_control,7,2000,0.25,0.0019680759853219266,0.0019680759853219266,4.175325614820887e-05,1.0,0.23220529698066453,0.8159235578460117,0.6237046763871882,0.23220529698066453,0.8159235578460117,0.6237046763871882,0.023810202516321353,0.03400701527323447,0.03925837795134588,True,True,True
gaussian_control,8,2000,0.25,0.0002379812778620329,0.0002379812778620329,6.338338483265734e-05,1.0,0.19801146409852743,0.8145807378926,0.6051356793839135,0.19801146409852743,0.8145807378926,0.6051356793839135,0.022751077448528424,0.031882444650503605,0.042181454980224145,True,True,True
gaussian_control,9,2000,0.25,0.003690529600971866,0.003690529600971866,6.72173158833694e-05,1.0,0.21520182688157974,0.8379121707354795,0.6413766121737536,0.21520182688157974,0.8379121707354795,0.6413766121737536,0.024007296876946763,0.035410877610528045,0.041519514360438,True,True,True
gaussian_control,10,2000,0.25,0.0013840196679541375,0.0013840196679541375,0.00013013850687067647,1.0,0.18469481926054374,0.7790444098334478,0.5703878056224937,0.18469481926054374,0.7790444098334478,0.5703878056224937,0.022093201418859537,0.03227721715480189,0.04193484694641234,True,True,True
gaussian_control,11,2000,0.25,0.005098939889501779,0.005098939889501779,1.3115561345108682e-05,1.0,0.2292165860403975,0.8399800376449477,0.6471353571231416,0.2292165860403975,0.8399800376449477,0.6471353571231416,0.024006835894430634,0.03181567594802384,0.03918159225308444,True,True,True
gaussian_control,12,2000,0.25,4.7663926767233825e-05,4.7663926767233825e-05,5.598527762045338e-05,1.0,0.19310674397488098,0.8003943029534804,0.6000202484789513,0.19310674397488098,0.8003943029534804,0.6000202484789513,0.022846098271511916,0.03501235529451911,0.04089305546703812,True,True,True
gaussian_control,13,2000,0.25,0.0003703393820493607,0.0003703393820493607,7.763197719386836e-05,1.0,0.18478189045931984,0.8031533519466403,0.611452136590181,0.18478189045931984,0.8031533519466403,0.611452136590181,0.023458476028285803,0.03189064495326111,0.039770356811906896,True,True,True
gaussian_control,14,2000,0.25,0.0006526205291308162,0.0006526205291308162,2.0014951616117376e-05,1.0,0.17473151115435653,0.8037445188854728,0.6003766214335412,0.17473151115435653,0.8037445188854728,0.6003766214335412,0.022291120645302358,0.03300455480141859,0.042768366532758936,True,True,True
gaussian_control,15,2000,0.25,0.002325822602781347,0.002325822602781347,0.0002209158982927778,1.0,0.16597524940926753,0.778789085821343,0.5741408985407498,0.16597524940926753,0.778789085821343,0.5741408985407498,0.02361693202118322,0.03609394834641759,0.039387791038719616,True,True,True
